in:climate,in:area,out:Current (TLL) MJ/m2 annum,out:RCP 2 5  (TLL) MJ/m2 annum,out:RCP 4 5 (TLL) MJ/m2 annum,out:RCP 8 5 (TLL) MJ/m2 annum,img
7,150,70.09,60.07,60.04,56.9,climate7_area150.png
8,150,112.09,104.6,98.19,97.76,climate8_area150.png
9,150,138.59,120.9,114.18,111.67,climate9_area150.png
10,150,326.37,292.44,275.91,258.86,climate10_area150.png
11,150,97.08,87.59,90.96,91.47,climate11_area150.png
12,150,72.31,67.68,65.22,64.46,climate12_area150.png
13,150,91.3,90.48,94.29,100.92,climate13_area150.png
14,150,94.05,87.21,86.64,87.43,climate14_area150.png
15,150,32.61,35.01,36.56,37.63,climate15_area150.png
16,150,163.42,144.05,141.71,132.83,climate16_area150.png
17,150,277.47,231.96,226.4,218.26,climate17_area150.png
18,150,32.61,86.6,85.77,91.09,climate18_area150.png
19,150,83.3,64.66,64.53,69,climate19_area150.png
0,175,79.27,82.66,81.88,87.06,climate0_area175.png
1,175,54.23,61.59,61.49,65.9,climate1_area175.png
2,175,46.42,64.92,70.76,84.98,climate2_area175.png
3,175,32,41.49,39.42,47.28,climate3_area175.png
4,175,128,102.64,99.47,92.48,climate4_area175.png
5,175,56.37,57.39,54.3,50.67,climate5_area175.png
6,175,32.4,30.71,32.76,45.65,climate6_area175.png
7,175,66.31,56.92,56.9,53.95,climate7_area175.png
8,175,106.37,99.44,93.34,92.95,climate8_area175.png
9,175,131.36,114.63,108.22,105.91,climate9_area175.png
10,175,309.6,277.36,261.64,245.45,climate10_area175.png
11,175,92.26,83.32,86.6,87.13,climate11_area175.png
12,175,68.49,64.25,61.89,61.25,climate12_area175.png
13,175,86.97,86.42,90.1,96.58,climate13_area175.png
14,175,89.27,82.94,82.37,83.19,climate14_area175.png
15,175,30.6,33.2,34.69,35.72,climate15_area175.png
16,175,154.8,136.46,134.22,125.82,climate16_area175.png
17,175,263.12,219.88,214.59,206.87,climate17_area175.png
18,175,30.6,82.66,81.88,87.06,climate18_area175.png
19,175,79.27,61.59,61.49,65.9,climate19_area175.png
0,200,75.96,79.49,78.75,83.84,climate0_area200.png
1,200,51.77,59.13,59.06,63.46,climate1_area200.png
2,200,44.56,62.73,68.46,82.41,climate2_area200.png
3,200,30.26,39.71,37.69,45.41,climate3_area200.png
4,200,121.69,97.59,94.63,88.06,climate4_area200.png
5,200,53.68,54.94,51.95,48.65,climate5_area200.png
6,200,30.63,29.26,31.27,43.95,climate6_area200.png
7,200,63.09,54.3,54.3,51.52,climate7_area200.png
8,200,101.48,95.11,89.26,88.92,climate8_area200.png
9,200,125.09,109.22,103.1,100.96,climate9_area200.png
10,200,294.85,264.11,249.09,233.66,climate10_area200.png
11,200,88.21,79.79,82.99,83.57,climate11_area200.png
12,200,65.27,61.41,59.13,58.63,climate12_area200.png
13,200,83.4,83.16,86.75,93.13,climate13_area200.png
14,200,85.22,79.39,78.81,79.68,climate14_area200.png
15,200,28.94,31.78,33.23,34.23,climate15_area200.png
16,200,147.27,129.85,127.69,119.73,climate16_area200.png
17,200,250.51,209.27,204.22,196.87,climate17_area200.png
18,200,28.94,79.49,78.75,83.84,climate18_area200.png
19,200,75.96,59.13,59.06,63.46,climate19_area200.png
0,225,73.39,77.13,76.44,81.5,climate0_area225.png
1,225,49.86,57.32,57.29,61.74,climate1_area225.png
2,225,43.23,61.29,66.97,80.8,climate2_area225.png
3,225,28.88,38.41,36.44,44.09,climate3_area225.png
4,225,116.3,93.33,90.56,84.4,climate4_area225.png
5,225,51.53,53.07,50.16,47.21,climate5_area225.png
6,225,29.23,28.2,30.19,42.81,climate6_area225.png
7,225,60.46,52.24,52.26,49.63,climate7_area225.png
8,225,97.46,91.63,86.01,85.72,climate8_area225.png
9,225,119.8,104.71,98.82,96.86,climate9_area225.png
10,225,282.13,252.69,238.28,223.5,climate10_area225.png
11,225,84.96,77.02,80.2,80.83,climate11_area225.png
12,225,62.66,59.2,56.98,56.63,climate12_area225.png
13,225,80.66,80.75,84.29,90.65,climate13_area225.png
14,225,81.94,76.6,76.01,76.95,climate14_area225.png
15,225,27.64,30.8,32.22,33.2,climate15_area225.png
16,225,140.84,124.23,122.13,114.57,climate16_area225.png
17,225,239.63,200.14,195.29,188.27,climate17_area225.png
18,225,27.64,77.13,76.44,81.5,climate18_area225.png
19,225,73.39,57.32,57.29,61.74,climate19_area225.png
0,250,71.13,75.02,74.36,79.38,climate0_area250.png
1,250,48.18,55.69,55.68,60.16,climate1_area250.png
2,250,42.02,59.92,65.55,79.25,climate2_area250.png
3,250,27.68,37.24,35.31,42.89,climate3_area250.png
4,250,111.73,89.7,87.08,81.26,climate4_area250.png
5,250,49.66,51.42,48.57,45.9,climate5_area250.png
6,250,28,27.24,29.22,41.74,climate6_area250.png
7,250,58.2,50.44,50.47,47.97,climate7_area250.png
8,250,93.99,88.61,83.18,82.92,climate8_area250.png
9,250,115.29,100.85,95.15,93.34,climate9_area250.png
10,250,271.36,243.02,229.13,214.9,climate10_area250.png
11,250,82.14,74.59,77.73,78.41,climate11_area250.png
12,250,60.41,57.25,55.09,54.85,climate12_area250.png
13,250,78.23,78.59,82.08,88.4,climate13_area250.png
14,250,79.1,74.15,73.55,74.54,climate14_area250.png
15,250,26.49,29.9,31.29,32.25,climate15_area250.png
16,250,135.37,119.45,117.4,110.17,climate16_area250.png
17,250,230.42,192.41,187.72,180.99,climate17_area250.png
